country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Argentina,A. Mac Allister,AR,18,SA,€525K,Fifa Score,Argentinos Juniors,€1K,1000,525000
Argentina,T. Conechny,AR,19,SA,€550K,Fifa Score,San Lorenzo de Almagro,€3K,3000,550000
Argentina,E. Martínez,AR,23,SA,€375K,Fifa Score,Chacarita Juniors,€3K,3000,375000
Argentina,J. Cejas,AR,19,SA,€550K,Fifa Score,Estudiantes de La Plata,€2K,2000,550000
Argentina,E. Ham,AR,23,SA,€375K,Fifa Score,Argentinos Juniors,€2K,2000,375000
Argentina,M. Lovera,AR,18,SA,€525K,Fifa Score,Rosario Central,€2K,2000,525000
Argentina,A. Peralta,AR,28,SA,€250K,Fifa Score,Club Atlético Patronato,€2K,2000,250000
Argentina,M. Ortíz,AR,22,SA,€400K,Fifa Score,Talleres de Cordoba,€3K,3000,400000
Argentina,M. González,AR,23,SA,€350K,Fifa Score,Rosario Central,€3K,3000,350000
Argentina,Y. Bonnin,AR,26,SA,€220K,Fifa Score,Gimnasia y Esgrima La Plata,€2K,2000,220000
Argentina,S. Chacón,AR,25,SA,€300K,Fifa Score,San Martín de San Juan,€2K,2000,300000
Argentina,T. Sandoval,AR,18,SA,€525K,Fifa Score,Colon de Santa Fe,€2K,2000,525000
Argentina,M. Zaracho,AR,19,SA,€550K,Fifa Score,Racing Club de Avellaneda,€2K,2000,550000
Argentina,M. Osores,AR,20,SA,€350K,Fifa Score,Atlético Tucumán,€2K,2000,350000
Argentina,F. Garcés,AR,17,SA,€350K,Fifa Score,Colon de Santa Fe,€1K,1000,350000
Argentina,M. Sosa,AR,21,SA,€375K,Fifa Score,Defensa y Justicia,€2K,2000,375000
Argentina,J. Álvarez,AR,21,SA,€375K,Fifa Score,Banfield,€2K,2000,375000
Argentina,E. Ojeda,AR,19,SA,€525K,Fifa Score,Rosario Central,€2K,2000,525000
Argentina,A. Fontana,AR,21,SA,€425K,Fifa Score,Banfield,€3K,3000,425000
Argentina,E. Ozuna,AR,21,SA,€425K,Fifa Score,Temperley,€3K,3000,425000
Argentina,L. De Bórtoli,AR,28,SA,€200K,Fifa Score,Temperley,€2K,2000,200000
Argentina,V. De Marco,AR,24,SA,€300K,Fifa Score,Lech Poznań,€2K,2000,300000
Argentina,F. Lenci,AR,33,SA,€160K,Fifa Score,Argentinos Juniors,€3K,3000,160000
Argentina,I. Protti,AR,22,SA,€350K,Fifa Score,Chacarita Juniors,€3K,3000,350000
Argentina,N. Pelaitay,AR,24,SA,€290K,Fifa Score,San Martín de San Juan,€2K,2000,290000
Argentina,E. Beltramone,AR,18,SA,€525K,Fifa Score,Talleres de Cordoba,€2K,2000,525000
Argentina,B. Cufré,AR,20,SA,€500K,Fifa Score,Vélez Sarsfield,€2K,2000,500000
Argentina,R. Migone,AR,21,SA,€450K,Fifa Score,Club Atlético Patronato,€3K,3000,450000
Argentina,F. Banega,AR,20,SA,€450K,Fifa Score,San Martín de San Juan,€3K,3000,450000
Argentina,A. Maldonado,AR,19,SA,€500K,Fifa Score,Banfield,€2K,2000,500000
Argentina,E. Rueda,AR,21,SA,€375K,Fifa Score,Argentinos Juniors,€2K,2000,375000
Argentina,P. Silva Torrejón,AR,20,SA,€325K,Fifa Score,Bahía Blanca,€3K,3000,325000
Argentina,F. Boló,AR,23,SA,€375K,Fifa Score,Atlético Huila,€1K,1000,375000
Argentina,E. Rodríguez,AR,26,SA,€300K,Fifa Score,Club Atlético Tigre,€3K,3000,300000
Argentina,W. Bracamonte,AR,19,SA,€425K,Fifa Score,Unión de Santa Fe,€2K,2000,425000
Argentina,C. Ramírez,AR,22,SA,€475K,Fifa Score,Talleres de Cordoba,€3K,3000,475000
Argentina,F. Barboza,AR,20,SA,€550K,Fifa Score,Argentinos Juniors,€2K,2000,550000
Argentina,P. Magnín,AR,27,SA,€350K,Fifa Score,San Martín de San Juan,€2K,2000,350000
Argentina,F. Vietto,AR,19,SA,€650K,Fifa Score,Racing Club de Avellaneda,€2K,2000,650000
Argentina,M. Rivadero,AR,24,SA,€400K,Fifa Score,Belgrano de Córdoba,€2K,2000,400000
Argentina,F. Falcone,AR,27,SA,€325K,Fifa Score,CD Aves,€3K,3000,325000
